"Regional","departamentos","tipodeentidad","cat","direccion","estado","horario actual /contingencia","Latitud","Longitud"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","CNA","A+","Calle 12 No. 65 -11
Zona Industrial Puente Aranda","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.63352","74.11646"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SUBA","A","Tv 60 No. 128a - 68","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.71709","74.0732"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","FISCALIA","D","DAG 22 B No 52 - 01 
Torre C Primer Piso.","ABIERTO                                                   ATENCION SOLO A FUNCIONARIOS DE LA ENTIDAD","LUNES A VIERNES
 8:00 AM A 5:00 PM","4.639465","74.099363"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SUPERNOTARIADO","D","Calle 26 No. 13-49","ABIERTO                                                   ATENCION SOLO A FUNCIONARIOS DE LA ENTIDAD","LUNES A VIERNES
 8:00 AM A 5:00 PM","4.613235","74.072174"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","SENA","D","Calle 57 No 8 - 69 
Torre Sur","ABIERTO                                                   ATENCION SOLO A FUNCIONARIOS DE LA ENTIDAD","LUNES A VIERNES
 8:00 AM A 5:00 PM","4.643352","74.063047"
"BOGOTA CENTRO
ZONA 1","BOGOTA  D.C.","ICBF","D","Avenida carrera 68 No 64c - 75","ABIERTO                                                   ATENCION SOLO A FUNCIONARIOS DE LA ENTIDAD","LUNES A VIERNES
 8:00 AM A 5:00 PM","4.671419","74.089829"
"BOGOTA CENTRO
ZONA 1","CUNDINAMARCA","CHIA","C","Centro Comercial Centro Chia
Av. Pradilla # 9-00 Local 111","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","4.8668102","74.0374391"
"BOGOTA CENTRO
ZONA 1","CUNDINAMARCA","ZIPAQUIRA","C","Carrera 7 # 6 - 44","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","5.026243","74.001701"
"BOGOTA CENTRO
ZONA 1","BOYACA","TUNJA","B","Carrera 11 # 21-87","ABIERTO","LUNES A VIERNES
 8:00 AM A 4:00 PM
 SABADOS
 8:00 AM A 12:00 M","5.5314012","73.3635281"
"BOGOTA CENTRO
ZONA 1","BOYACA","SOGAMOSO","PI","EDIFICIO MIRADOR PLAZA carrera 11 No. 15-10","ABIERTO","LUNES A VIERNES
8:00 AM A 12:00 PM
2:00 PM A 5:00 PM","5.7192593","72.9275885"
